en,cmn,yue,ja,de,ko,eo,fr,es,vi
English,普通话,粵語(jyut6 jyu5),日本語(にほんご),Deutsch,한국어,Esperanto,français,español,Tiếng Việt(㗂越)
类 1 DKTZ,cmn,yue,ja,de,ko,eo,fr,es,vi
类 1 DKTZ - khoung keen,cmn,yue,ja,de,ko,eo,fr,es,vi
dot,点,点 (dim2),点 (てん),Punkt,점,,point,punto,chấm
long,长,长 (coeng4),長い (ながい),lang,긴,,long,largo,dài
short,短,短 (dyun2),短い (みじかい),kurz,짧은,,court,corto,ngắn
tall,高,高 (gou1),高い (たかい),groß,키가 큰,,grand,alto,cao
short (vs tall),矮,矮 (aai2),低い (ひくい),klein,키가 작은,,petit,bajo,thấp
wide,宽,宽 (fun1),広い (ひろい),breit,넓은,,large,ancho,rộng
narrow,窄,窄 (zaak6),狭い (せまい),eng,좁은,,étroit,estreito,hẹp
big/large,大,大 (daai6),大きい (おおきい),groß,큰,,grande,grande,lớn
small/little,小,小 (siu2),小さい (ちいさい),klein,작은,,petit,pequeño,nhỏ
thick,厚,厚 (hau5),厚い (あつい),dick,두꺼운,,épais,grueso,dày
thin,薄,薄 (bok6),薄い (うすい),dünn,얇은,,mince,delgado,mỏng
high,高,高 (gou1),高い (たかい),hoch,높은,,haut,alto,cao
low,低,低 (dai1),低い (ひくい),niedrig,낮은,,bas,bajo,thấp
deep,深,深 (sam1),深い (ふかい),tief,깊은,,profond,profundo,sâu
shallow,浅,浅 (sin2),浅い (あさい),flach,얕은,,peu profond,superficial,nông
flat,平,平 (ping4),平ら (たいら),flach,평평한,,plat,plano,bằng phẳng
curved,曲,曲 (kuk1),曲がった (まがった),gebogen,곡선,,curvé,curvado,cung
小类directions,方向,方向 (fong1 coeng4),方向 (ほうこう),Richtungen,방향,,directions,direcciones,hướng
top,顶部,顶部 (ding2 bou6),上部 (うわべ),oben,위,,top,arriba,trên
bottom,底部,底部 (dai2 bou6),底部 (そこぶ),unten,밑,,bas,bajo,dưới
side,侧面,侧面 (zaak3 min6),側面 (そくめん),Seite,옆쪽,,côté,lado,bên
front,前面,前面 (cin4 min6),前面 (まえめん),Vorderseite,앞,,avant,frontal,trước
back,后面,后面 (hau6 min6),後面 (うしろめん),Rückseite,뒤,,arrière,trasero,phía sau
outside,外面,外面 (ngoi6 min6),外側 (そとがわ),außen,밖,,extérieur,exterior,ngoài
inside,里面,里面 (lei5 min6),内側 (うちがわ),innen,안,,intérieur,interior,bên trong
up,向上,向上 (hoeng3 soeng5),上へ (うえへ),hoch,위로,,haut,arriba,lên
down,下,下 (haa6),下 (した),unten,아래,,vers le bas,abajo,xuống
left,左,左 (zo2),左 (ひだり),links,왼쪽,,gauche,izquierda,trái
right,右,右 (jau6),右 (みぎ),rechts,오른쪽,,droit,derecha,phải
straight,直,直 (zik6),まっすぐ (massugu),gerade,곧장,,droit,derecho,thẳng
north,北,北 (bak1),北 (きた),Norden,북,,nord,norte,bắc
south,南,南 (naam4),南 (みなみ),Süden,남,,sud,sur,nam
east,东,东 (dung1),東 (ひがし),Osten,동,,est,este,đông
west,西,西 (sai1),西 (にし),Westen,서,,ouest,oeste,tây
类 1 DKTZ - djy keen,cmn,yue,ja,de,ko,eo,fr,es,vi
slow,慢,慢 (maan6),遅い (おそい),langsam,느린,,lent,lento,chậm
fast,快,快 (faai3),速い (はやい),schnell,빠른,,rapide,rápido,nhanh
new,新,新 (san1),新しい (あたらしい),neu,새로운,,nouveau,nuevo,mới
old (new),旧,旧 (gau6),新しい (あたらしい),alt,새로운,,vieux,nuevo,mới
young,年轻,年轻 (nin4 coeng1),若い (わかい),jung,젊은,,jeune,joven,trẻ
old (young),老,老 (lou5),年をとる (としをとる),alt,늙은,,vieux,viejo,già
类 1 DKTZ - sruoh lyangh,cmn,yue,ja,de,ko,eo,fr,es,vi
strong,强,强 (goeng6),強い (つよい),stark,강한,,fort,fuerte,mạnh
weak,弱,弱 (joek6),弱い (よわい),schwach,약한,,faible,débil,yếu
count,数,数 (sou3),数える (かぞえる),zählen,세다,,compter,contar,đếm
小类math/measurements,数学/测量,数学/测量 (sou3 hok6 / cak1 loeng6),数学/計測 (すうがく/けいそく),Mathematik/ Messung,수학/측정,,math/mesure,matemáticas,toán học/đo lường
meter,米,米 (mai5),メートル (めーとる),Meter,미터,,mètre,metro,mét
centimeter,厘米,厘米 (lei4 mai5),センチメートル (せんちめーとる),Zentimeter,센티미터,,centimètre,centímetro,centimet
kilogram,公斤,公斤 (gung1 gan1),キログラム (きろぐらむ),Kilogramm,킬로그램,,kilogramme,kilogramo,kilôgam
inch,英寸,英寸 (jing1 cyun2),インチ (いんち),Zoll,인치,,pouce,pulgada,inches
foot,英尺,英尺 (jing1 cek3),フィート (ふぃーと),Fuß,피트,,pied,pie,foot
pound,磅,磅 (bong6),ポンド (ぽんど),Pfund,파운드,,livre,libra,pound
half,半,半 (bun3),半 (はん),halb,반,,moitié,medio,nửa
circle,圆,圆 (jyun4),円 (えん),Kreis,원,,cercle,círculo,hình tròn
square,平方,平方 (ping4 fong1),平方 (へいほう),Quadrat,제곱,,carré,cuadrado,hình vuông
temperature,温度,温度 (wan1 dou6),温度 (おんど),Temperatur,온도,,température,temperatura,nhiệt độ
date,日期,日期 (jat6 kei4),日付 (ひづけ),Datum,날짜,,date,fecha,ngày
weight,重量,重量 (zung6 loeng6),重さ (おもさ),Gewicht,무게,,poids,peso,trọng lượng
edge,边缘,边缘 (bin1 jin1),端 (はし),Kante,가장자리,,bordes,borde,cạnh
corner,角落,角落 (gok3 lok6),角 (かど),Ecke,구석,,coin,esquina,góc
小类numbers,数字,数字 (soe4 zi6),数字 (すうじ),Zahlen,숫자,,nombres,números,số
0,零,零 (ling4),零 (れい),null,영,,zéro,cero,không
1,一,一 (jat1),一 (いち),eins,일,,un,uno,một
2,二,二 (ji6),二 (に),zwei,이,,deux,dos,hai
3,三,三 (saam1),三 (さん),drei,삼,,trois,tres,ba
4,四,四 (sei3),四 (し),vier,사,,quatre,cuatro,bốn
5,五,五 (ng5),五 (ご),fünf,오,,cinq,cinco,năm
6,六,六 (luk6),六 (ろく),sechs,육,,six,seis,sáu
7,七,七 (cat1),七 (なな),sieben,칠,,sept,siete,bảy
